Log | User 1: Function result = 29511.2 in 1967 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 25864.8 in 1724 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 27881.4 in 1858 point
Log | User 2: Function result = 26936.1 in 1795 point
Log | User 1: Function result = 29469.5 in 1964 point
Log | User 2: Function result = 24759.9 in 1650 point
Log | User 1: Function result = 24686.1 in 1645 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 27416.5 in 1827 point
Log | User 2: Function result = 28969 in 1931 point
Log | User 3: Function result = 23868.5 in 1591 point
Log | User 2: Function result = 27246.9 in 1816 point
Log | User 2: Function result = 25346.1 in 1689 point
Log | User 1: Function result = 29875.4 in 1991 point
Log | User 2: Function result = 24099.8 in 1606 point
Log | User 3: Function result = 23662.7 in 1577 point
Log | User 1: Function result = 29135.7 in 1942 point
Log | User 3: Function result = 22548.4 in 1503 point
Log | User 2: Function result = 27440.3 in 1829 point
Log | User 1: Function result = 29044.8 in 1936 point
Log | User 3: Function result = 25026.7 in 1668 point
Log | User 3: Function result = 26006.1 in 1733 point
Log | User 2: Function result = 28009.4 in 1867 point
Log | User 1: Function result = 24063.5 in 1604 point
Log | User 3: Function result = 24789.2 in 1652 point
Log | User 1: Function result = 24800.4 in 1653 point
Log | User 1: Function result = 28238.3 in 1882 point
Log | User 3: Function result = 28488.6 in 1899 point
Log | User 3: Function result = 22886.2 in 1525 point
Log | User 1: Function result = 25744.9 in 1716 point
Log | User 3: Function result = 25775.7 in 1718 point
Log | User 1: Function result = 28434.9 in 1895 point
Log | User 3: Function result = 26974.1 in 1798 point
Log | User 1: Function result = 25901.3 in 1726 point
Log | User 3: Function result = 25241.2 in 1682 point
Log | User 1: Function result = 23081.3 in 1538 point
Log | User 1: Function result = 28683.8 in 1912 point
Log | User 1: Function result = 26988.9 in 1799 point
Log | User 1: Function result = 28416.1 in 1894 point
Log | User 1: Function result = 27168.5 in 1811 point
Log | User 1: Function result = 27506.5 in 1833 point
Log | User 1: Function result = 24970.9 in 1664 point
Log | User 1: Function result = 25668.8 in 1711 point
Log | User 1: Function result = 28023.7 in 1868 point
Log | User 1: Function result = 24670.7 in 1644 point
Log | User 1: Function result = 26365.5 in 1757 point
Log | User 1: Function result = 27895.5 in 1859 point
Log | User 1: Function result = 26120.3 in 1741 point
Log | User 1: Function result = 26678 in 1778 point
Log | User 1: Function result = 23028.6 in 1535 point
Log | User 1: Function result = 27634.1 in 1842 point
Log | User 1: Function result = 24099.8 in 1606 point
Log | User 1: Function result = 29135.7 in 1942 point
Log | User 1: Function result = 24723.5 in 1648 point
Log | User 1: Function result = 27078.5 in 1805 point
Log | User 1: Function result = 25938.8 in 1729 point
Log | User 1: Function result = 27756 in 1850 point
Log | User 1: Function result = 24026.1 in 1601 point
Log | User 1: Function result = 23224.5 in 1548 point
Log | User 1: Function result = 24348.7 in 1623 point
Log | User 1: Function result = 29317.9 in 1954 point
Log | User 1: Function result = 27610.8 in 1840 point
Log | User 1: Function result = 28149.3 in 1876 point
Log | User 1: Function result = 27131.5 in 1808 point
Log | User 1: Function result = 29095 in 1939 point
Log | User 1: Function result = 27349.4 in 1823 point
Log | User 1: Function result = 23081.3 in 1538 point
Log | User 1: Function result = 23741.3 in 1582 point
Log | User 1: Function result = 23118.3 in 1541 point
Log | User 1: Function result = 24231.5 in 1615 point
Log | User 1: Function result = 24880.2 in 1658 point
Log | User 1: Function result = 28954.1 in 1930 point
Log | User 1: Function result = 27095.9 in 1806 point
Log | User 1: Function result = 28294.1 in 1886 point
Log | User 1: Function result = 26186.4 in 1745 point
Log | User 1: Function result = 23583.6 in 1572 point
Log | User 1: Function result = 27440.3 in 1829 point
Log | User 1: Function result = 23599.1 in 1573 point
Log | User 1: Function result = 22690.4 in 1512 point
Log | User 1: Function result = 26860.1 in 1790 point
Log | User 1: Function result = 24544.6 in 1636 point
Log | User 1: Function result = 26508.5 in 1767 point
Log | User 1: Function result = 23617.6 in 1574 point
Log | User 1: Function result = 23287.1 in 1552 point
Log | User 1: Function result = 24759.9 in 1650 point
Log | User 1: Function result = 25864.8 in 1724 point
Log | User 1: Function result = 28954.1 in 1930 point
Log | User 1: Function result = 25369.5 in 1691 point
Log | User 1: Function result = 27559.6 in 1837 point
Log | User 1: Function result = 26810.3 in 1787 point
Log | User 1: Function result = 28256.2 in 1883 point
Log | User 1: Function result = 28646.1 in 1909 point
Log | User 1: Function result = 26381.3 in 1758 point
Log | User 1: Function result = 23831.4 in 1588 point
Log | User 1: Function result = 29201.5 in 1946 point
Log | User 1: Function result = 22957.5 in 1530 point
Log | User 1: Function result = 25026.7 in 1668 point
Log | User 1: Function result = 23868.5 in 1591 point
Log | User 1: Function result = 24830.1 in 1655 point
Log | User 1: Function result = 27895.5 in 1859 point
Log | User 1: Function result = 23065.1 in 1537 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 2: Function result = 26936.1 in 1795 point
Log | User 1: Function result = 25864.8 in 1724 point
Log | User 2: Function result = 24759.9 in 1650 point
Log | User 1: Function result = 27881.4 in 1858 point
Log | User 2: Function result = 28969 in 1931 point
Log | User 1: Function result = 29469.5 in 1964 point
Log | User 2: Function result = 27246.9 in 1816 point
Log | User 2: Function result = 25346.1 in 1689 point
Log | User 2: Function result = 24099.8 in 1606 point
Log | User 2: Function result = 27440.3 in 1829 point
Log | User 2: Function result = 28009.4 in 1867 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 2: Function result = 29420.2 in 1961 point
Log | User 3: Function result = 23868.5 in 1591 point
Log | User 2: Function result = 23778.4 in 1585 point
Log | User 3: Function result = 23662.7 in 1577 point
Log | User 3: Function result = 22548.4 in 1503 point
Log | User 2: Function result = 25008.7 in 1667 point
Log | User 3: Function result = 25026.7 in 1668 point
Log | User 2: Function result = 29111.6 in 1940 point
Log | User 3: Function result = 26006.1 in 1733 point
Log | User 2: Function result = 28863.7 in 1924 point
Log | User 3: Function result = 24789.2 in 1652 point
Log | User 2: Function result = 22690.4 in 1512 point
Log | User 3: Function result = 28488.6 in 1899 point
Log | User 2: Function result = 23935.6 in 1595 point
Log | User 3: Function result = 22886.2 in 1525 point
Log | User 2: Function result = 29844 in 1989 point
Log | User 3: Function result = 25775.7 in 1718 point
Log | User 2: Function result = 23831.4 in 1588 point
Log | User 2: Function result = 25686.8 in 1712 point
Log | User 3: Function result = 26974.1 in 1798 point
Log | User 2: Function result = 28826.5 in 1921 point
Log | User 3: Function result = 25241.2 in 1682 point
Log | User 2: Function result = 29647.3 in 1976 point
Log | User 3: Function result = 25972.4 in 1731 point
Log | User 2: Function result = 22690.4 in 1512 point
Log | User 2: Function result = 22690.4 in 1512 point
Log | User 3: Function result = 28488.6 in 1899 point
Log | User 2: Function result = 23688.6 in 1579 point
Log | User 2: Function result = 29076.2 in 1938 point
Log | User 3: Function result = 28464.5 in 1897 point
Log | User 2: Function result = 28270.8 in 1884 point
Log | User 2: Function result = 26109.2 in 1740 point
Log | User 3: Function result = 25990.8 in 1732 point
Log | User 2: Function result = 23546.3 in 1569 point
Log | User 2: Function result = 27114.7 in 1807 point
Log | User 3: Function result = 25630.9 in 1708 point
Log | User 2: Function result = 23389.6 in 1559 point
Log | User 2: Function result = 25540.1 in 1702 point
Log | User 3: Function result = 26454.6 in 1763 point
Log | User 2: Function result = 23725.2 in 1581 point
Log | User 3: Function result = 28398.6 in 1893 point
Log | User 2: Function result = 23105 in 1540 point
Log | User 3: Function result = 29226.7 in 1948 point
Log | User 2: Function result = 26950.8 in 1796 point
Log | User 2: Function result = 22868.6 in 1524 point
Log | User 2: Function result = 24438.4 in 1629 point
Log | User 2: Function result = 22849.8 in 1523 point
Log | User 2: Function result = 26381.3 in 1758 point
Log | User 2: Function result = 23378.3 in 1558 point
Log | User 2: Function result = 27906.8 in 1860 point
Log | User 2: Function result = 23935.6 in 1595 point
Log | User 2: Function result = 28566.8 in 1904 point
Log | User 2: Function result = 29914.4 in 1994 point
Log | User 2: Function result = 23765 in 1584 point
Log | User 2: Function result = 22706.1 in 1513 point
Log | User 2: Function result = 25758.5 in 1717 point
Log | User 2: Function result = 23571.6 in 1571 point
Log | User 2: Function result = 24231.5 in 1615 point
Log | User 2: Function result = 28023.7 in 1868 point
Log | User 2: Function result = 26290.9 in 1752 point
Log | User 2: Function result = 25901.3 in 1726 point
Log | User 2: Function result = 28701.6 in 1913 point
Log | User 2: Function result = 28523.9 in 1901 point
Log | User 2: Function result = 23366.1 in 1557 point
Log | User 2: Function result = 29966.1 in 1997 point
Log | User 2: Function result = 24891.5 in 1659 point
Log | User 2: Function result = 29291.1 in 1952 point
Log | User 2: Function result = 25188.5 in 1679 point
Log | User 2: Function result = 22911.6 in 1527 point
Log | User 2: Function result = 23350.5 in 1556 point
Log | User 2: Function result = 22536.1 in 1502 point
Log | User 2: Function result = 26109.2 in 1740 point
Log | User 2: Function result = 26435.8 in 1762 point
Log | User 2: Function result = 26756.4 in 1783 point
Log | User 2: Function result = 25045.3 in 1669 point
Log | User 2: Function result = 28631 in 1908 point
Log | User 2: Function result = 23081.3 in 1538 point
Log | User 2: Function result = 24038.2 in 1602 point
Log | User 2: Function result = 22796.3 in 1519 point
Log | User 2: Function result = 28954.1 in 1930 point
Log | User 2: Function result = 23298.9 in 1553 point
Log | User 2: Function result = 26080 in 1738 point
Log | User 2: Function result = 23332 in 1555 point
Log | User 2: Function result = 29317.9 in 1954 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 25864.8 in 1724 point
Log | User 1: Function result = 27881.4 in 1858 point
Log | User 1: Function result = 29469.5 in 1964 point
Log | User 1: Function result = 24686.1 in 1645 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 2: Function result = 26936.1 in 1795 point
Log | User 2: Function result = 24759.9 in 1650 point
Log | User 2: Function result = 28969 in 1931 point
Log | User 2: Function result = 27246.9 in 1816 point
Log | User 2: Function result = 25346.1 in 1689 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 25864.8 in 1724 point
Log | User 1: Function result = 27881.4 in 1858 point
Log | User 1: Function result = 29469.5 in 1964 point
Log | User 1: Function result = 24686.1 in 1645 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 22511.3 in 1500 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 2: Function result = 25744.9 in 1716 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 1: Function result = 29511.2 in 1967 point
Log | User 3: Function result = 25449.2 in 1696 point
Log | User 2: Function result = 25744.9 in 1716 point
